Frame: 1, Time: 2025-02-16T18:40:20.2105854, Frame size (bytes): 2717852 Height: 1920, Width: 1080
Frame: 2, Time: 2025-02-16T18:40:20.9311795, Frame size (bytes): 2768443 Height: 1920, Width: 1080
Frame: 3, Time: 2025-02-16T18:40:21.3584201, Frame size (bytes): 2799820 Height: 1920, Width: 1080
Frame: 4, Time: 2025-02-16T18:40:21.7924906, Frame size (bytes): 2798875 Height: 1920, Width: 1080
Frame: 5, Time: 2025-02-16T18:40:22.2235953, Frame size (bytes): 2796243 Height: 1920, Width: 1080
Frame: 6, Time: 2025-02-16T18:40:22.659686, Frame size (bytes): 2800234 Height: 1920, Width: 1080
Frame: 7, Time: 2025-02-16T18:40:23.0909066, Frame size (bytes): 2801105 Height: 1920, Width: 1080
Frame: 8, Time: 2025-02-16T18:40:23.5169924, Frame size (bytes): 2797494 Height: 1920, Width: 1080
Frame: 9, Time: 2025-02-16T18:40:23.9438209, Frame size (bytes): 2793945 Height: 1920, Width: 1080
Frame: 10, Time: 2025-02-16T18:40:24.3624316, Frame size (bytes): 2796363 Height: 1920, Width: 1080
Frame: 11, Time: 2025-02-16T18:40:24.7771075, Frame size (bytes): 2794837 Height: 1920, Width: 1080
Frame: 12, Time: 2025-02-16T18:40:25.1835702, Frame size (bytes): 2794725 Height: 1920, Width: 1080
Frame: 13, Time: 2025-02-16T18:40:25.5987823, Frame size (bytes): 2786156 Height: 1920, Width: 1080
Frame: 14, Time: 2025-02-16T18:40:26.0200351, Frame size (bytes): 2774802 Height: 1920, Width: 1080
Frame: 15, Time: 2025-02-16T18:40:26.4369164, Frame size (bytes): 2767403 Height: 1920, Width: 1080
Frame: 16, Time: 2025-02-16T18:40:26.8530155, Frame size (bytes): 2761011 Height: 1920, Width: 1080
Frame: 17, Time: 2025-02-16T18:40:27.2685626, Frame size (bytes): 2761821 Height: 1920, Width: 1080
Frame: 18, Time: 2025-02-16T18:40:27.6858201, Frame size (bytes): 2764591 Height: 1920, Width: 1080
Frame: 19, Time: 2025-02-16T18:40:28.1059453, Frame size (bytes): 2767349 Height: 1920, Width: 1080
Frame: 20, Time: 2025-02-16T18:40:28.5290746, Frame size (bytes): 2772744 Height: 1920, Width: 1080
Frame: 21, Time: 2025-02-16T18:40:28.9512988, Frame size (bytes): 2776609 Height: 1920, Width: 1080
Frame: 22, Time: 2025-02-16T18:40:29.3627327, Frame size (bytes): 2684929 Height: 1920, Width: 1080
Frame: 23, Time: 2025-02-16T18:40:30.1486303, Frame size (bytes): 2727614 Height: 1920, Width: 1080
Frame: 24, Time: 2025-02-16T18:40:30.5977404, Frame size (bytes): 2758933 Height: 1920, Width: 1080
Frame: 25, Time: 2025-02-16T18:40:31.015367, Frame size (bytes): 2771976 Height: 1920, Width: 1080
Frame: 26, Time: 2025-02-16T18:40:31.4364179, Frame size (bytes): 2777119 Height: 1920, Width: 1080
Frame: 27, Time: 2025-02-16T18:40:31.8551343, Frame size (bytes): 2779057 Height: 1920, Width: 1080
Frame: 28, Time: 2025-02-16T18:40:32.2784545, Frame size (bytes): 2777506 Height: 1920, Width: 1080
Frame: 29, Time: 2025-02-16T18:40:32.710646, Frame size (bytes): 2779315 Height: 1920, Width: 1080
Frame: 30, Time: 2025-02-16T18:40:33.1263331, Frame size (bytes): 2771386 Height: 1920, Width: 1080
Frame: 31, Time: 2025-02-16T18:40:33.5514291, Frame size (bytes): 2763173 Height: 1920, Width: 1080
Frame: 32, Time: 2025-02-16T18:40:33.9838386, Frame size (bytes): 2756321 Height: 1920, Width: 1080
Frame: 33, Time: 2025-02-16T18:40:34.402442, Frame size (bytes): 2752108 Height: 1920, Width: 1080
Frame: 34, Time: 2025-02-16T18:40:34.8295001, Frame size (bytes): 2750626 Height: 1920, Width: 1080
Frame: 35, Time: 2025-02-16T18:40:35.2496878, Frame size (bytes): 2751281 Height: 1920, Width: 1080
Frame: 36, Time: 2025-02-16T18:40:35.6798606, Frame size (bytes): 2757731 Height: 1920, Width: 1080
Frame: 37, Time: 2025-02-16T18:40:36.1071491, Frame size (bytes): 2763261 Height: 1920, Width: 1080
Frame: 38, Time: 2025-02-16T18:40:36.5309723, Frame size (bytes): 2800228 Height: 1920, Width: 1080
Frame: 39, Time: 2025-02-16T18:40:36.9563446, Frame size (bytes): 2869575 Height: 1920, Width: 1080
Frame: 40, Time: 2025-02-16T18:40:37.3910997, Frame size (bytes): 2900969 Height: 1920, Width: 1080
Frame: 41, Time: 2025-02-16T18:40:37.8255769, Frame size (bytes): 2938293 Height: 1920, Width: 1080
Frame: 42, Time: 2025-02-16T18:40:38.2455193, Frame size (bytes): 2634947 Height: 1920, Width: 1080
Frame: 43, Time: 2025-02-16T18:40:38.6544571, Frame size (bytes): 2674669 Height: 1920, Width: 1080
Frame: 44, Time: 2025-02-16T18:40:39.0687075, Frame size (bytes): 2724327 Height: 1920, Width: 1080
Frame: 45, Time: 2025-02-16T18:40:39.4897923, Frame size (bytes): 2754969 Height: 1920, Width: 1080
Frame: 46, Time: 2025-02-16T18:40:39.9138879, Frame size (bytes): 2769581 Height: 1920, Width: 1080
Frame: 47, Time: 2025-02-16T18:40:40.3409938, Frame size (bytes): 2774658 Height: 1920, Width: 1080
Frame: 48, Time: 2025-02-16T18:40:40.7692049, Frame size (bytes): 2778007 Height: 1920, Width: 1080
Frame: 49, Time: 2025-02-16T18:40:41.1915781, Frame size (bytes): 2786154 Height: 1920, Width: 1080
Frame: 50, Time: 2025-02-16T18:40:41.627815, Frame size (bytes): 2787460 Height: 1920, Width: 1080
Frame: 51, Time: 2025-02-16T18:40:42.0469084, Frame size (bytes): 2785870 Height: 1920, Width: 1080
Frame: 52, Time: 2025-02-16T18:40:42.4640205, Frame size (bytes): 2785516 Height: 1920, Width: 1080
Frame: 53, Time: 2025-02-16T18:40:42.8822891, Frame size (bytes): 2782261 Height: 1920, Width: 1080
Frame: 54, Time: 2025-02-16T18:40:43.310583, Frame size (bytes): 2778851 Height: 1920, Width: 1080
Frame: 55, Time: 2025-02-16T18:40:43.7353323, Frame size (bytes): 2777645 Height: 1920, Width: 1080
Frame: 56, Time: 2025-02-16T18:40:44.1585309, Frame size (bytes): 2772570 Height: 1920, Width: 1080
Frame: 57, Time: 2025-02-16T18:40:44.5795143, Frame size (bytes): 2768761 Height: 1920, Width: 1080
Frame: 58, Time: 2025-02-16T18:40:45.0046242, Frame size (bytes): 2762147 Height: 1920, Width: 1080
Frame: 59, Time: 2025-02-16T18:40:45.4277882, Frame size (bytes): 2758488 Height: 1920, Width: 1080
Frame: 60, Time: 2025-02-16T18:40:45.8609799, Frame size (bytes): 2929164 Height: 1920, Width: 1080
Frame: 61, Time: 2025-02-16T18:40:46.3060804, Frame size (bytes): 2966591 Height: 1920, Width: 1080
Frame: 62, Time: 2025-02-16T18:40:46.7537852, Frame size (bytes): 2998651 Height: 1920, Width: 1080
Frame: 63, Time: 2025-02-16T18:40:47.1779516, Frame size (bytes): 2706407 Height: 1920, Width: 1080
Frame: 64, Time: 2025-02-16T18:40:47.5961683, Frame size (bytes): 2782890 Height: 1920, Width: 1080
Frame: 65, Time: 2025-02-16T18:40:48.0181997, Frame size (bytes): 2895924 Height: 1920, Width: 1080
Frame: 66, Time: 2025-02-16T18:40:48.446856, Frame size (bytes): 2939629 Height: 1920, Width: 1080
Frame: 67, Time: 2025-02-16T18:40:48.8837784, Frame size (bytes): 2956307 Height: 1920, Width: 1080
Frame: 68, Time: 2025-02-16T18:40:49.3282485, Frame size (bytes): 2978619 Height: 1920, Width: 1080
Frame: 69, Time: 2025-02-16T18:40:49.7496511, Frame size (bytes): 2711954 Height: 1920, Width: 1080
Frame: 70, Time: 2025-02-16T18:40:50.1657354, Frame size (bytes): 2750806 Height: 1920, Width: 1080
Frame: 71, Time: 2025-02-16T18:40:50.5868301, Frame size (bytes): 2768665 Height: 1920, Width: 1080
Frame: 72, Time: 2025-02-16T18:40:51.0059455, Frame size (bytes): 2768988 Height: 1920, Width: 1080
Frame: 73, Time: 2025-02-16T18:40:51.423104, Frame size (bytes): 2777450 Height: 1920, Width: 1080
Frame: 74, Time: 2025-02-16T18:40:51.8442935, Frame size (bytes): 2777140 Height: 1920, Width: 1080
Frame: 75, Time: 2025-02-16T18:40:52.2644141, Frame size (bytes): 2765701 Height: 1920, Width: 1080
Frame: 76, Time: 2025-02-16T18:40:52.6945016, Frame size (bytes): 2768938 Height: 1920, Width: 1080
Frame: 77, Time: 2025-02-16T18:40:53.1067355, Frame size (bytes): 2761418 Height: 1920, Width: 1080
Frame: 78, Time: 2025-02-16T18:40:53.5210354, Frame size (bytes): 2763555 Height: 1920, Width: 1080
Frame: 79, Time: 2025-02-16T18:40:53.9382297, Frame size (bytes): 2783788 Height: 1920, Width: 1080
Frame: 80, Time: 2025-02-16T18:40:54.3555815, Frame size (bytes): 2797973 Height: 1920, Width: 1080
Frame: 81, Time: 2025-02-16T18:40:54.772895, Frame size (bytes): 2789153 Height: 1920, Width: 1080
Frame: 82, Time: 2025-02-16T18:40:55.1981105, Frame size (bytes): 2815648 Height: 1920, Width: 1080
Frame: 83, Time: 2025-02-16T18:40:55.6351134, Frame size (bytes): 2876435 Height: 1920, Width: 1080
Frame: 84, Time: 2025-02-16T18:40:56.0703702, Frame size (bytes): 2931727 Height: 1920, Width: 1080
Frame: 85, Time: 2025-02-16T18:40:56.5125041, Frame size (bytes): 2997208 Height: 1920, Width: 1080
Frame: 86, Time: 2025-02-16T18:40:56.883729, Frame size (bytes): 2007014 Height: 1920, Width: 1080
Frame: 87, Time: 2025-02-16T18:40:57.2097733, Frame size (bytes): 2029482 Height: 1920, Width: 1080
Frame: 88, Time: 2025-02-16T18:40:57.5439497, Frame size (bytes): 2086119 Height: 1920, Width: 1080
Frame: 89, Time: 2025-02-16T18:40:57.8933816, Frame size (bytes): 2177582 Height: 1920, Width: 1080
Frame: 90, Time: 2025-02-16T18:40:58.285137, Frame size (bytes): 2297362 Height: 1920, Width: 1080
Frame: 91, Time: 2025-02-16T18:40:58.646433, Frame size (bytes): 2408722 Height: 1920, Width: 1080
Frame: 92, Time: 2025-02-16T18:40:59.018611, Frame size (bytes): 2499250 Height: 1920, Width: 1080
Frame: 93, Time: 2025-02-16T18:40:59.4049967, Frame size (bytes): 2586716 Height: 1920, Width: 1080
Frame: 94, Time: 2025-02-16T18:40:59.8043328, Frame size (bytes): 2650275 Height: 1920, Width: 1080
Frame: 95, Time: 2025-02-16T18:41:00.2138499, Frame size (bytes): 2724198 Height: 1920, Width: 1080
Frame: 96, Time: 2025-02-16T18:41:00.6294098, Frame size (bytes): 2775552 Height: 1920, Width: 1080
Frame: 97, Time: 2025-02-16T18:41:01.0500305, Frame size (bytes): 2836733 Height: 1920, Width: 1080
Frame: 98, Time: 2025-02-16T18:41:01.4781346, Frame size (bytes): 2883044 Height: 1920, Width: 1080
Frame: 99, Time: 2025-02-16T18:41:01.910263, Frame size (bytes): 2918123 Height: 1920, Width: 1080
Frame: 100, Time: 2025-02-16T18:41:02.3445279, Frame size (bytes): 2950132 Height: 1920, Width: 1080
Frame: 101, Time: 2025-02-16T18:41:02.7850053, Frame size (bytes): 2970090 Height: 1920, Width: 1080
Frame: 102, Time: 2025-02-16T18:41:03.234123, Frame size (bytes): 3057139 Height: 1920, Width: 1080
Frame: 103, Time: 2025-02-16T18:41:04.3880558, Frame size (bytes): 3632242 Height: 1920, Width: 1080
Frame: 104, Time: 2025-02-16T18:41:04.9164801, Frame size (bytes): 3627393 Height: 1920, Width: 1080
Frame: 105, Time: 2025-02-16T18:41:05.4371996, Frame size (bytes): 3656302 Height: 1920, Width: 1080
Frame: 106, Time: 2025-02-16T18:41:06.030545, Frame size (bytes): 3707080 Height: 1920, Width: 1080
Frame: 107, Time: 2025-02-16T18:41:06.5656829, Frame size (bytes): 3703760 Height: 1920, Width: 1080
Frame: 108, Time: 2025-02-16T18:41:07.0274244, Frame size (bytes): 2817316 Height: 1920, Width: 1080
Frame: 109, Time: 2025-02-16T18:41:07.4545482, Frame size (bytes): 2881381 Height: 1920, Width: 1080
Frame: 110, Time: 2025-02-16T18:41:07.8891337, Frame size (bytes): 2914283 Height: 1920, Width: 1080
Frame: 111, Time: 2025-02-16T18:41:08.3187243, Frame size (bytes): 2924751 Height: 1920, Width: 1080
Frame: 112, Time: 2025-02-16T18:41:08.7530232, Frame size (bytes): 2923381 Height: 1920, Width: 1080
Frame: 113, Time: 2025-02-16T18:41:09.1904324, Frame size (bytes): 2917551 Height: 1920, Width: 1080
Frame: 114, Time: 2025-02-16T18:41:09.6193753, Frame size (bytes): 2912879 Height: 1920, Width: 1080
Frame: 115, Time: 2025-02-16T18:41:10.0466132, Frame size (bytes): 2913072 Height: 1920, Width: 1080
Frame: 116, Time: 2025-02-16T18:41:10.4748991, Frame size (bytes): 2908057 Height: 1920, Width: 1080
Frame: 117, Time: 2025-02-16T18:41:10.900671, Frame size (bytes): 2908873 Height: 1920, Width: 1080
Frame: 118, Time: 2025-02-16T18:41:11.3408428, Frame size (bytes): 2908432 Height: 1920, Width: 1080
Frame: 119, Time: 2025-02-16T18:41:11.7698382, Frame size (bytes): 2910989 Height: 1920, Width: 1080
Frame: 120, Time: 2025-02-16T18:41:12.1963413, Frame size (bytes): 2909630 Height: 1920, Width: 1080
Frame: 121, Time: 2025-02-16T18:41:12.6333996, Frame size (bytes): 2911815 Height: 1920, Width: 1080
Frame: 122, Time: 2025-02-16T18:41:13.0656167, Frame size (bytes): 2918611 Height: 1920, Width: 1080
Frame: 123, Time: 2025-02-16T18:41:13.4996211, Frame size (bytes): 2915189 Height: 1920, Width: 1080
Frame: 124, Time: 2025-02-16T18:41:13.9392442, Frame size (bytes): 2911320 Height: 1920, Width: 1080
Frame: 125, Time: 2025-02-16T18:41:14.3706123, Frame size (bytes): 2905025 Height: 1920, Width: 1080
Frame: 126, Time: 2025-02-16T18:41:14.8106188, Frame size (bytes): 2901769 Height: 1920, Width: 1080
Frame: 127, Time: 2025-02-16T18:41:15.2347148, Frame size (bytes): 2895935 Height: 1920, Width: 1080
Frame: 128, Time: 2025-02-16T18:41:15.6698371, Frame size (bytes): 2825708 Height: 1920, Width: 1080
Frame: 129, Time: 2025-02-16T18:41:16.1031232, Frame size (bytes): 2882262 Height: 1920, Width: 1080
Frame: 130, Time: 2025-02-16T18:41:16.5347592, Frame size (bytes): 2923722 Height: 1920, Width: 1080
Frame: 131, Time: 2025-02-16T18:41:16.9709196, Frame size (bytes): 2937623 Height: 1920, Width: 1080
Frame: 132, Time: 2025-02-16T18:41:17.4120185, Frame size (bytes): 2934005 Height: 1920, Width: 1080
Frame: 133, Time: 2025-02-16T18:41:17.8521229, Frame size (bytes): 2928988 Height: 1920, Width: 1080
Frame: 134, Time: 2025-02-16T18:41:18.290331, Frame size (bytes): 2929461 Height: 1920, Width: 1080
Frame: 135, Time: 2025-02-16T18:41:18.7244343, Frame size (bytes): 2938646 Height: 1920, Width: 1080
Frame: 136, Time: 2025-02-16T18:41:19.1665794, Frame size (bytes): 2958186 Height: 1920, Width: 1080
Frame: 137, Time: 2025-02-16T18:41:19.6237202, Frame size (bytes): 2970971 Height: 1920, Width: 1080
Frame: 138, Time: 2025-02-16T18:41:20.0558281, Frame size (bytes): 2962900 Height: 1920, Width: 1080
Frame: 139, Time: 2025-02-16T18:41:20.4864236, Frame size (bytes): 2953014 Height: 1920, Width: 1080
Frame: 140, Time: 2025-02-16T18:41:21.0287843, Frame size (bytes): 3128074 Height: 1920, Width: 1080
Frame: 141, Time: 2025-02-16T18:41:21.4818851, Frame size (bytes): 3130872 Height: 1920, Width: 1080
Frame: 142, Time: 2025-02-16T18:41:21.9430984, Frame size (bytes): 3132600 Height: 1920, Width: 1080
Frame: 143, Time: 2025-02-16T18:41:22.4117461, Frame size (bytes): 3132593 Height: 1920, Width: 1080
Frame: 144, Time: 2025-02-16T18:41:22.8671241, Frame size (bytes): 3132692 Height: 1920, Width: 1080
Frame: 145, Time: 2025-02-16T18:41:23.3322476, Frame size (bytes): 3133565 Height: 1920, Width: 1080
Frame: 146, Time: 2025-02-16T18:41:23.7833426, Frame size (bytes): 3134629 Height: 1920, Width: 1080
Frame: 147, Time: 2025-02-16T18:41:24.2363888, Frame size (bytes): 3133181 Height: 1920, Width: 1080
Frame: 148, Time: 2025-02-16T18:41:24.6973174, Frame size (bytes): 3135664 Height: 1920, Width: 1080
Frame: 149, Time: 2025-02-16T18:41:25.2392635, Frame size (bytes): 3519949 Height: 1920, Width: 1080
Frame: 150, Time: 2025-02-16T18:41:25.6793543, Frame size (bytes): 2692476 Height: 1920, Width: 1080
Frame: 151, Time: 2025-02-16T18:41:26.0871964, Frame size (bytes): 2726538 Height: 1920, Width: 1080
Frame: 152, Time: 2025-02-16T18:41:26.4963214, Frame size (bytes): 2751360 Height: 1920, Width: 1080
Frame: 153, Time: 2025-02-16T18:41:26.9114143, Frame size (bytes): 2766814 Height: 1920, Width: 1080
Frame: 154, Time: 2025-02-16T18:41:27.3335087, Frame size (bytes): 2773167 Height: 1920, Width: 1080
Frame: 155, Time: 2025-02-16T18:41:27.7606069, Frame size (bytes): 2774192 Height: 1920, Width: 1080
Frame: 156, Time: 2025-02-16T18:41:28.1747095, Frame size (bytes): 2779856 Height: 1920, Width: 1080
Frame: 157, Time: 2025-02-16T18:41:28.6098048, Frame size (bytes): 2782518 Height: 1920, Width: 1080
Frame: 158, Time: 2025-02-16T18:41:29.0359359, Frame size (bytes): 2786108 Height: 1920, Width: 1080
Frame: 159, Time: 2025-02-16T18:41:29.4550278, Frame size (bytes): 2779539 Height: 1920, Width: 1080
Frame: 160, Time: 2025-02-16T18:41:29.8722009, Frame size (bytes): 2780144 Height: 1920, Width: 1080
Frame: 161, Time: 2025-02-16T18:41:30.3053341, Frame size (bytes): 2780211 Height: 1920, Width: 1080
Frame: 162, Time: 2025-02-16T18:41:30.7217323, Frame size (bytes): 2850344 Height: 1920, Width: 1080
Frame: 163, Time: 2025-02-16T18:41:31.1498597, Frame size (bytes): 2913204 Height: 1920, Width: 1080
Frame: 164, Time: 2025-02-16T18:41:31.5861397, Frame size (bytes): 2941387 Height: 1920, Width: 1080
Frame: 165, Time: 2025-02-16T18:41:32.024243, Frame size (bytes): 2982872 Height: 1920, Width: 1080
Frame: 166, Time: 2025-02-16T18:41:32.465429, Frame size (bytes): 2996745 Height: 1920, Width: 1080
Frame: 167, Time: 2025-02-16T18:41:32.8825785, Frame size (bytes): 2648505 Height: 1920, Width: 1080
Frame: 168, Time: 2025-02-16T18:41:33.284776, Frame size (bytes): 2688717 Height: 1920, Width: 1080
Frame: 169, Time: 2025-02-16T18:41:33.6918673, Frame size (bytes): 2706314 Height: 1920, Width: 1080
Frame: 170, Time: 2025-02-16T18:41:34.1009508, Frame size (bytes): 2711961 Height: 1920, Width: 1080
Frame: 171, Time: 2025-02-16T18:41:34.5050405, Frame size (bytes): 2708925 Height: 1920, Width: 1080
Frame: 172, Time: 2025-02-16T18:41:34.9121408, Frame size (bytes): 2706082 Height: 1920, Width: 1080
Frame: 173, Time: 2025-02-16T18:41:35.3327669, Frame size (bytes): 2703448 Height: 1920, Width: 1080
Frame: 174, Time: 2025-02-16T18:41:35.734493, Frame size (bytes): 2699154 Height: 1920, Width: 1080
Frame: 175, Time: 2025-02-16T18:41:36.137149, Frame size (bytes): 2698689 Height: 1920, Width: 1080
Frame: 176, Time: 2025-02-16T18:41:36.5422706, Frame size (bytes): 2698511 Height: 1920, Width: 1080
Frame: 177, Time: 2025-02-16T18:41:36.9433133, Frame size (bytes): 2702826 Height: 1920, Width: 1080
Frame: 178, Time: 2025-02-16T18:41:37.3703922, Frame size (bytes): 2702989 Height: 1920, Width: 1080
Frame: 179, Time: 2025-02-16T18:41:37.7764929, Frame size (bytes): 2704434 Height: 1920, Width: 1080
Frame: 180, Time: 2025-02-16T18:41:38.1796118, Frame size (bytes): 2717548 Height: 1920, Width: 1080
Frame: 181, Time: 2025-02-16T18:41:38.6027072, Frame size (bytes): 2912820 Height: 1920, Width: 1080
Frame: 182, Time: 2025-02-16T18:41:39.0368111, Frame size (bytes): 2932685 Height: 1920, Width: 1080
Frame: 183, Time: 2025-02-16T18:41:39.4710324, Frame size (bytes): 2951494 Height: 1920, Width: 1080
Frame: 184, Time: 2025-02-16T18:41:39.9075154, Frame size (bytes): 2989335 Height: 1920, Width: 1080
Frame: 185, Time: 2025-02-16T18:41:40.3606239, Frame size (bytes): 3001597 Height: 1920, Width: 1080
Frame: 186, Time: 2025-02-16T18:41:40.7953942, Frame size (bytes): 3024638 Height: 1920, Width: 1080
Frame: 187, Time: 2025-02-16T18:41:41.2323299, Frame size (bytes): 3045297 Height: 1920, Width: 1080
Frame: 188, Time: 2025-02-16T18:41:41.659266, Frame size (bytes): 2833278 Height: 1920, Width: 1080
Frame: 189, Time: 2025-02-16T18:41:42.1033818, Frame size (bytes): 3181201 Height: 1920, Width: 1080
Frame: 190, Time: 2025-02-16T18:41:42.5729985, Frame size (bytes): 3277289 Height: 1920, Width: 1080
Frame: 191, Time: 2025-02-16T18:41:43.0505732, Frame size (bytes): 3343139 Height: 1920, Width: 1080
Frame: 192, Time: 2025-02-16T18:41:43.5396957, Frame size (bytes): 3386114 Height: 1920, Width: 1080
Frame: 193, Time: 2025-02-16T18:41:44.0329836, Frame size (bytes): 3439201 Height: 1920, Width: 1080
Frame: 194, Time: 2025-02-16T18:41:44.5299643, Frame size (bytes): 3461353 Height: 1920, Width: 1080
Frame: 195, Time: 2025-02-16T18:41:45.033376, Frame size (bytes): 3487092 Height: 1920, Width: 1080
Frame: 196, Time: 2025-02-16T18:41:45.5580228, Frame size (bytes): 3528292 Height: 1920, Width: 1080
